"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 06- 10","121.79","120.37","123.00","117.04","314.16M","0.74%"
"2024- 06- 07","120.89","119.77","121.69","118.02","412.39M","-0.09%"
"2024- 06- 06","121.00","124.05","125.59","118.32","664.70M","-1.18%"
"2024- 06- 05","122.44","118.37","122.45","117.47","528.40M","5.15%"
"2024- 06- 04","116.44","115.72","116.60","114.05","403.32M","1.25%"
"2024- 06- 03","115.00","113.62","115.00","112.00","438.39M","4.90%"
"2024- 05- 31","109.63","112.52","112.72","106.94","613.26M","-0.79%"
"2024- 05- 30","110.50","114.65","115.82","109.66","487.35M","-3.77%"
"2024- 05- 29","114.83","113.05","115.49","110.90","557.44M","0.82%"
"2024- 05- 28","113.90","110.24","114.94","109.88","652.73M","6.98%"
"2024- 05- 24","106.47","104.45","106.47","103.00","429.49M","2.57%"
"2024- 05- 23","103.80","102.03","106.32","101.52","835.07M","9.32%"
"2024- 05- 22","94.95","95.46","96.02","93.25","548.65M","-0.46%"
"2024- 05- 21","95.39","93.60","95.40","93.18","328.95M","0.64%"
"2024- 05- 20","94.78","93.75","95.20","93.44","318.76M","2.49%"
"2024- 05- 17","92.48","94.37","94.74","91.81","359.69M","-1.99%"
"2024- 05- 16","94.36","94.91","95.82","94.10","323.95M","-0.29%"
"2024- 05- 15","94.63","92.47","94.86","91.60","417.74M","3.58%"
"2024- 05- 14","91.36","89.60","91.65","88.93","296.51M","1.06%"
"2024- 05- 13","90.40","90.48","91.00","88.53","289.68M","0.58%"
"2024- 05- 10","89.88","90.30","91.40","89.23","335.33M","1.27%"
"2024- 05- 09","88.75","90.53","91.07","88.23","378.01M","-1.84%"
"2024- 05- 08","90.41","89.48","91.19","89.42","325.72M","-0.15%"
"2024- 05- 07","90.55","91.10","91.78","89.01","437.34M","-1.73%"
"2024- 05- 06","92.14","89.39","92.22","89.06","376.20M","3.77%"
"2024- 05- 03","88.79","87.79","89.28","87.04","398.34M","3.46%"
"2024- 05- 02","85.82","84.45","86.24","83.20","377.90M","3.35%"
"2024- 05- 01","83.04","85.08","86.00","81.25","559.86M","-3.89%"
"2024- 04- 30","86.40","87.24","88.82","86.30","363.71M","-1.55%"
"2024- 04- 29","87.76","87.59","87.99","85.27","388.97M","0.03%"
"2024- 04- 26","87.73","83.82","88.33","83.39","551.01M","6.17%"
"2024- 04- 25","82.63","78.87","83.32","78.22","424.64M","3.70%"
"2024- 04- 24","79.68","83.95","84.08","79.18","512.21M","-3.32%"
"2024- 04- 23","82.42","80.77","82.77","80.26","438.56M","3.65%"
"2024- 04- 22","79.52","78.10","80.07","76.40","596.34M","4.36%"
"2024- 04- 19","76.20","83.15","84.32","75.61","875.20M","-10.00%"
"2024- 04- 18","84.67","84.97","86.19","82.40","447.26M","0.76%"
"2024- 04- 17","84.03","88.34","88.78","83.95","495.40M","-3.88%"
"2024- 04- 16","87.42","86.43","88.12","86.06","370.45M","1.65%"
"2024- 04- 15","86.00","89.10","90.61","85.93","443.08M","-2.48%"
"2024- 04- 12","88.19","89.70","90.17","87.53","426.80M","-2.68%"
"2024- 04- 11","90.62","87.42","90.74","86.93","431.64M","4.11%"
"2024- 04- 10","87.04","83.93","87.40","83.71","431.93M","1.98%"
"2024- 04- 09","85.35","87.44","87.64","83.02","503.55M","-2.04%"
"2024- 04- 08","87.13","88.70","88.83","86.73","283.22M","-1.00%"
"2024- 04- 05","88.01","86.87","88.48","85.93","399.68M","2.44%"
"2024- 04- 04","85.91","90.41","90.63","85.88","434.96M","-3.43%"
"2024- 04- 03","88.96","88.48","90.37","88.40","370.07M","-0.55%"
"2024- 04- 02","89.45","88.45","90.09","87.62","433.06M","-1.01%"
"2024- 04- 01","90.36","90.30","92.22","89.20","452.44M","0.00%"
"2024- 03- 28","90.36","90.00","91.30","89.19","435.21M","0.12%"
"2024- 03- 27","90.25","93.11","93.24","89.12","586.07M","-2.50%"
"2024- 03- 26","92.56","95.85","96.38","92.50","513.65M","-2.57%"
"2024- 03- 25","95.00","93.94","96.77","93.51","552.14M","0.75%"
"2024- 03- 22","94.29","91.14","94.78","90.83","586.72M","3.12%"
"2024- 03- 21","91.44","92.30","92.65","90.41","480.37M","1.18%"
"2024- 03- 20","90.37","89.80","90.41","88.22","479.06M","1.09%"
"2024- 03- 19","89.40","86.70","90.54","85.01","672.17M","1.07%"
"2024- 03- 18","88.45","90.39","92.41","87.08","668.98M","0.69%"
"2024- 03- 15","87.84","86.93","89.55","86.26","642.09M","-0.11%"
"2024- 03- 14","87.94","89.58","90.65","86.60","602.32M","-3.25%"
"2024- 03- 13","90.89","91.06","91.50","88.44","635.71M","-1.11%"
"2024- 03- 12","91.91","88.05","91.96","86.15","668.08M","7.16%"
"2024- 03- 11","85.77","86.43","88.80","84.17","678.36M","-2.01%"
"2024- 03- 08","87.53","95.14","97.40","86.51","1.14B","-5.55%"
"2024- 03- 07","92.67","90.16","92.77","89.60","608.12M","4.48%"
"2024- 03- 06","88.70","88.02","89.72","87.03","582.52M","3.19%"
"2024- 03- 05","85.96","85.27","86.10","83.42","520.64M","0.84%"
"2024- 03- 04","85.24","84.13","87.69","83.72","615.62M","3.60%"
"2024- 03- 01","82.28","80.00","82.30","79.44","479.14M","4.01%"
"2024- 02- 29","79.11","79.09","79.99","78.35","507.29M","1.87%"
"2024- 02- 28","77.66","77.62","78.93","77.12","393.11M","-1.32%"
"2024- 02- 27","78.70","79.38","79.48","77.16","391.71M","-0.49%"
"2024- 02- 26","79.09","79.70","80.65","78.50","503.97M","0.34%"
"2024- 02- 23","78.82","80.79","82.39","77.57","829.39M","0.36%"
"2024- 02- 22","78.54","75.03","78.58","74.22","865.10M","16.41%"
"2024- 02- 21","67.47","68.01","68.89","66.25","690.30M","-2.85%"
"2024- 02- 20","69.45","71.95","71.96","67.73","704.83M","-4.35%"
"2024- 02- 16","72.61","74.10","74.40","72.50","495.33M","-0.07%"
"2024- 02- 15","72.66","73.87","73.97","72.40","420.12M","-1.68%"
"2024- 02- 14","73.90","73.20","74.24","71.94","504.92M","2.45%"
"2024- 02- 13","72.13","70.40","73.45","69.62","602.58M","-0.17%"
"2024- 02- 12","72.25","72.60","74.61","71.25","613.71M","0.17%"
"2024- 02- 09","72.13","70.53","72.19","70.21","436.64M","3.58%"
"2024- 02- 08","69.64","70.07","70.79","69.45","414.42M","-0.66%"
"2024- 02- 07","70.10","68.32","70.22","67.60","495.57M","2.76%"
"2024- 02- 06","68.22","69.63","69.75","66.30","683.11M","-1.60%"
"2024- 02- 05","69.33","68.22","69.50","67.20","680.08M","4.79%"
"2024- 02- 02","66.16","63.97","66.60","63.69","476.58M","4.97%"
"2024- 02- 01","63.03","62.10","63.19","61.65","369.15M","2.44%"
"2024- 01- 31","61.53","61.44","62.27","60.70","453.79M","-1.98%"
"2024- 01- 30","62.77","62.90","63.49","62.26","410.74M","0.48%"
"2024- 01- 29","62.47","61.23","62.49","60.91","348.73M","2.36%"
"2024- 01- 26","61.03","60.96","61.78","60.57","390.31M","-0.96%"
"2024- 01- 25","61.62","62.35","62.72","60.85","482.78M","0.42%"
"2024- 01- 24","61.36","60.30","62.85","59.94","560.27M","2.49%"
"2024- 01- 23","59.87","59.57","59.91","58.59","294.65M","0.37%"
"2024- 01- 22","59.65","60.05","60.33","59.07","452.95M","0.27%"
"2024- 01- 19","59.49","57.99","59.50","57.23","543.50M","4.17%"
"2024- 01- 18","57.11","57.26","57.60","56.11","491.65M","1.89%"
"2024- 01- 17","56.05","56.35","56.47","54.74","474.39M","-0.59%"
"2024- 01- 16","56.38","55.02","56.83","54.90","449.58M","3.05%"
"2024- 01- 12","54.71","54.62","54.97","54.33","352.99M","-0.20%"
"2024- 01- 11","54.82","55.00","55.35","53.56","596.76M","0.86%"
"2024- 01- 10","54.35","53.62","54.60","53.49","533.80M","2.28%"
"2024- 01- 09","53.14","52.40","54.33","51.69","773.10M","1.70%"
"2024- 01- 08","52.25","49.51","52.27","49.48","642.51M","6.42%"
"2024- 01- 05","49.10","48.46","49.55","48.31","415.04M","2.29%"
"2024- 01- 04","48.00","47.77","48.50","47.51","306.53M","0.90%"
"2024- 01- 03","47.57","47.48","48.18","47.32","320.90M","-1.25%"
"2024- 01- 02","48.17","49.24","49.30","47.59","411.25M","-2.73%"
"2023- 12- 29","49.52","49.81","50.00","48.75","389.29M","0.00%"
"2023- 12- 28","49.52","49.64","49.88","49.41","246.59M","0.20%"
"2023- 12- 27","49.42","49.51","49.68","49.09","233.65M","0.28%"
"2023- 12- 26","49.28","48.97","49.60","48.96","244.20M","0.92%"
"2023- 12- 22","48.83","49.20","49.38","48.47","252.51M","-0.33%"
"2023- 12- 21","48.99","48.81","49.09","48.42","300.43M","1.83%"
"2023- 12- 20","48.11","49.66","50.00","48.10","397.89M","-3.00%"
"2023- 12- 19","49.60","49.42","49.70","48.90","464.44M","-0.96%"
"2023- 12- 18","50.08","49.40","50.43","49.15","412.59M","2.43%"
"2023- 12- 15","48.89","48.19","49.40","48.12","479.95M","1.12%"
"2023- 12- 14","48.35","48.39","48.67","47.42","391.23M","0.54%"
"2023- 12- 13","48.09","47.63","48.59","47.61","447.79M","0.90%"
"2023- 12- 12","47.66","46.05","47.67","46.05","372.39M","2.21%"
"2023- 12- 11","46.63","47.49","47.53","45.83","509.73M","-1.85%"
"2023- 12- 08","47.51","46.59","47.74","46.55","359.22M","1.95%"
