"날짜","종가","시가","고가","저가","거래량","변동 %"
"2021- 08- 23","21.96","20.97","22.00","20.95","575.81M","5.48%"
"2021- 08- 20","20.82","19.99","20.87","19.93","675.74M","5.15%"
"2021- 08- 19","19.80","19.49","20.50","18.76","766.55M","3.99%"
"2021- 08- 18","19.04","19.50","19.63","19.00","285.91M","-2.16%"
"2021- 08- 17","19.46","19.68","19.77","19.27","204.58M","-2.46%"
"2021- 08- 16","19.95","20.14","20.29","19.45","211.15M","-1.19%"
"2021- 08- 13","20.19","19.91","20.21","19.85","183.06M","1.41%"
"2021- 08- 12","19.91","19.87","20.03","19.62","151.86M","1.07%"
"2021- 08- 11","19.70","20.04","20.05","19.43","185.92M","-1.20%"
"2021- 08- 10","19.94","20.32","20.43","19.83","179.24M","-1.77%"
"2021- 08- 09","20.30","20.45","20.51","20.14","146.44M","-0.34%"
"2021- 08- 06","20.37","20.52","20.57","20.21","178.50M","-1.31%"
"2021- 08- 05","20.64","20.50","20.73","20.34","211.44M","1.83%"
"2021- 08- 04","20.27","19.99","20.32","19.83","231.31M","2.27%"
"2021- 08- 03","19.82","19.74","20.22","19.22","301.81M","0.35%"
"2021- 08- 02","19.75","19.70","19.96","19.36","217.44M","1.28%"
"2021- 07- 30","19.50","19.42","19.63","19.26","183.50M","-0.81%"
"2021- 07- 29","19.66","19.52","19.85","19.33","190.78M","0.82%"
"2021- 07- 28","19.50","19.32","19.65","19.00","202.19M","1.51%"
"2021- 07- 27","19.21","19.27","19.62","18.74","248.86M","-0.41%"
"2021- 07- 26","19.29","19.31","19.44","18.91","203.94M","-1.38%"
"2021- 07- 23","19.56","19.66","19.70","19.25","195.67M","-0.15%"
"2021- 07- 22","19.59","19.64","19.89","19.28","323.83M","0.93%"
"2021- 07- 21","19.41","18.88","19.53","18.74","371.02M","4.30%"
"2021- 07- 20","18.61","18.73","18.84","18.16","434.69M","-0.91%"
"2021- 07- 19","18.78","17.92","19.04","17.87","749.06M","3.41%"
"2021- 07- 16","18.16","19.03","19.16","18.07","688.22M","-4.27%"
"2021- 07- 15","18.97","19.81","19.85","18.86","550.56M","-4.39%"
"2021- 07- 14","19.84","20.36","20.42","19.75","380.10M","-2.02%"
"2021- 07- 13","20.25","20.40","20.46","20.11","290.71M","-1.27%"
"2021- 07- 12","20.51","20.24","20.53","20.19","321.98M","2.29%"
"2021- 07- 09","20.05","19.96","20.08","19.75","296.62M","0.75%"
"2021- 07- 08","19.90","19.86","20.13","19.70","503.30M","-2.31%"
"2021- 07- 07","20.37","20.85","20.88","20.33","418.43M","-1.59%"
"2021- 07- 06","20.70","20.74","20.84","20.35","446.71M","1.02%"
"2021- 07- 02","20.49","20.44","20.51","20.29","343.40M","1.39%"
"2021- 07- 01","20.21","20.12","20.46","20.02","480.13M","1.05%"
"2021- 06- 30","20.00","20.00","20.16","19.86","326.57M","-0.15%"
"2021- 06- 29","20.03","19.88","20.10","19.66","367.63M","0.25%"
"2021- 06- 28","19.98","19.36","20.08","19.32","495.44M","4.99%"
"2021- 06- 25","19.03","19.28","19.35","18.89","278.37M","-0.94%"
"2021- 06- 24","19.21","19.23","19.42","19.09","320.92M","0.79%"
"2021- 06- 23","19.06","19.01","19.15","18.91","332.36M","0.90%"
"2021- 06- 22","18.89","18.47","18.96","18.39","580.15M","2.50%"
"2021- 06- 21","18.43","18.44","18.54","17.82","672.38M","-1.13%"
"2021- 06- 18","18.64","18.78","19.38","18.58","968.85M","-0.11%"
"2021- 06- 17","18.66","17.77","18.84","17.76","809.65M","4.77%"
"2021- 06- 16","17.81","17.79","17.95","17.58","307.12M","0.11%"
"2021- 06- 15","17.79","17.91","18.02","17.73","243.03M","-1.28%"
"2021- 06- 14","18.02","17.91","18.04","17.66","321.37M","1.07%"
"2021- 06- 11","17.83","17.48","17.94","17.44","416.31M","2.29%"
"2021- 06- 10","17.43","17.35","17.49","17.18","287.77M","0.40%"
"2021- 06- 09","17.36","17.52","17.57","17.26","381.66M","-0.57%"
"2021- 06- 08","17.46","17.53","17.62","17.25","323.85M","-0.91%"
"2021- 06- 07","17.62","17.57","17.81","17.19","575.75M","0.23%"
"2021- 06- 04","17.58","17.11","17.66","17.10","617.12M","3.59%"
"2021- 06- 03","16.97","16.70","17.26","16.58","580.01M","1.13%"
"2021- 06- 02","16.78","16.25","16.92","16.24","594.17M","3.20%"
"2021- 06- 01","16.26","16.27","16.39","15.90","472.80M","0.12%"
"2021- 05- 28","16.24","15.50","16.28","15.50","644.54M","4.84%"
"2021- 05- 27","15.49","15.70","15.75","15.46","581.48M","-1.34%"
"2021- 05- 26","15.70","15.73","15.79","15.59","370.44M","0.32%"
"2021- 05- 25","15.65","15.77","15.82","15.48","435.41M","0.26%"
"2021- 05- 24","15.61","15.21","15.74","15.18","554.82M","4.14%"
"2021- 05- 21","14.99","15.16","15.22","14.87","672.99M","2.60%"
"2021- 05- 20","14.61","14.30","14.68","14.27","321.59M","3.84%"
"2021- 05- 19","14.07","13.57","14.08","13.54","344.00M","0.36%"
"2021- 05- 18","14.02","14.27","14.40","14.00","186.25M","-1.06%"
"2021- 05- 17","14.17","14.16","14.17","13.85","216.98M","-0.49%"
"2021- 05- 14","14.24","13.89","14.33","13.75","258.62M","4.17%"
"2021- 05- 13","13.67","14.03","14.08","13.46","285.73M","-0.65%"
"2021- 05- 12","13.76","14.01","14.26","13.71","303.41M","-3.84%"
"2021- 05- 11","14.31","13.82","14.35","13.75","285.59M","0.28%"
"2021- 05- 10","14.27","14.79","14.81","14.25","268.90M","-3.65%"
"2021- 05- 07","14.81","14.81","14.97","14.67","229.33M","2.00%"
"2021- 05- 06","14.52","14.50","14.57","14.22","193.38M","0.41%"
"2021- 05- 05","14.46","14.71","14.81","14.39","292.02M","0.77%"
"2021- 05- 04","14.35","14.64","14.64","14.01","405.32M","-3.30%"
"2021- 05- 03","14.84","15.12","15.25","14.79","203.91M","-1.13%"
"2021- 04- 30","15.01","15.17","15.36","15.00","201.91M","-2.02%"
"2021- 04- 29","15.32","15.40","15.44","15.07","173.20M","0.26%"
"2021- 04- 28","15.28","15.36","15.53","15.22","209.42M","-0.65%"
"2021- 04- 27","15.38","15.58","15.67","15.35","164.57M","-0.65%"
"2021- 04- 26","15.48","15.19","15.48","15.12","197.80M","1.38%"
"2021- 04- 23","15.27","14.93","15.33","14.90","227.77M","2.83%"
"2021- 04- 22","14.85","15.38","15.44","14.78","277.79M","-3.32%"
"2021- 04- 21","15.36","15.12","15.36","15.10","216.78M","1.25%"
"2021- 04- 20","15.17","15.32","15.50","14.96","334.13M","-1.24%"
"2021- 04- 19","15.36","15.54","15.81","15.23","404.42M","-3.46%"
"2021- 04- 16","15.91","16.05","16.17","15.87","335.21M","-1.43%"
"2021- 04- 15","16.14","15.66","16.21","15.63","598.48M","5.63%"
"2021- 04- 14","15.28","15.62","15.72","15.23","385.50M","-2.55%"
"2021- 04- 13","15.68","15.23","15.70","15.13","676.21M","3.09%"
